,rod,vyskyt_doba,vyskyt_misto,jedla,tren_tvar,tren_konzistence,tren_povrch,tren_barva,hymenofor,klobouk_barva,klobouk_tvar,klobouk_povrch,prsten,pochva
Anýzovník vonný (Gloeophyllum odoratum),Gloeophyllum,"leden, únor, březen, duben, květen, červen, červenec, srpen, září, říjen, listopad, prosinec","jehličnatý les, smíšený les",nejedlá,-,dřevnatá,-,-,rourky,"hnědá, žlutá","polokulovitý, excentrický","hrbolkatý, jamkatý, plstnatý",-,-
Bedla červenající (Macrolepiota rhacodes),Macrolepiota,"červenec, srpen, září, říjen","jehličnatý les, listnatý les, smíšený les, zahrady",jedlá,"válcovitý, hlízovitý",dřevnatá,hladký,"bílá, okrová",lupeny,hnědá,"kulovitý, plochý, s hrbolkem, zvoncovitý, klenutý",šupinkatý,má,nemá
Bedla vysoká (Macrolepiota procera),Macrolepiota,"červenec, srpen, září, říjen","jehličnatý les, listnatý les, smíšený les, pastviny, parky, křoviny, paseky",jedlá,"válcovitý, hlízovitý",dřevnatá,-,hnědá,lupeny,hnědá,"kulovitý, plochý, zvoncovitý",šupinkatý,má,nemá
Bělolanýž obecný (Choiromyces meandriformis),Choiromyces,"červenec, srpen, září","jehličnatý les, listnatý les, smíšený les",jedlá,-,tvrdá,-,-,jiné,-,-,-,-,-
Březovník obecný (Piptoporus betulinus),Piptoporus,"květen, červen, červenec, srpen, září, říjen","listnatý les, smíšený les, parky",nejedlá,-,měkká,-,-,rourky,"bílá, okrová",polokulovitý,hladký,-,-
Čechratka černohuňatá (Paxillus atrotomentosus),Paxillus,"červenec, srpen, září, říjen","jehličnatý les, smíšený les, mýtiny",nejedlá,válcovitý,tvrdá,matný,hnědá,lupeny,hnědá,"plochý, vmáčklý, klenutý",sametový,nemá,nemá
Čechratka podvinutá (Paxillus involutus),Paxillus,"červen, červenec, srpen, září, říjen, listopad","jehličnatý les, listnatý les, smíšený les, sady, zahrady, jiné",smrtelně jedovatá,válcovitý,tvrdá,hladký,"žlutá, okrová",lupeny,"hnědá, olivová, okrová","plochý, vmáčklý, klenutý",sametový,nemá,nemá
Čepičatka jehličnanová (Galerina marginata),Galerina,"srpen, září, říjen","jehličnatý les, smíšený les",smrtelně jedovatá,válcovitý,pružná,vláknitý,"hnědá, žlutá, okrová",lupeny,"hnědá, žlutá, okrová","plochý, klenutý","hladký, se zbytky plachetky (vločkatý)",má,nemá
Čirůvka fialová (Lepista nuda),Lepista,"září, říjen, listopad","jehličnatý les, listnatý les, smíšený les, louky, parky, sady, zahrady",jedlá,válcovitý,tvrdá,"hladký, vláknitý",fialová,lupeny,fialová,"plochý, klenutý","hladký, lysý",nemá,nemá
Čirůvka havelka (Tricholoma portentosum),Tricholoma,"září, říjen, listopad, prosinec",jehličnatý les,jedlá,válcovitý,tvrdá,"hladký, lesklý",bílá,lupeny,šedá,"plochý, zvoncovitý, klenutý",hladký,nemá,nemá
Čirůvka kravská (Tricholoma vaccinum),Tricholoma,"červenec, srpen, září, říjen",jehličnatý les,nejedlá,válcovitý,dutá,vláknitý,"hnědá, červená",lupeny,"hnědá, červená","plochý, kuželovitý, s hrbolkem",šupinkatý,nemá,nemá
Čirůvka májovka (Calocybe gambosa),Calocybe,"duben, květen, červen","listnatý les, louky, pastviny, parky, sady, zahrady, stráně, paseky",jedlá,válcovitý,tvrdá,hladký,bílá,lupeny,"bílá, okrová","polokulovitý, plochý, klenutý","hladký, lysý",nemá,nemá
Čirůvka mýdlová (Tricholoma Saponaceum),Tricholoma,"červenec, srpen, září, říjen, listopad","jehličnatý les, listnatý les, smíšený les",mírně jedovatá,válcovitý,tvrdá,vláknitý,bílá,lupeny,"hnědá, zelená, šedá, olivová",klenutý,hladký,nemá,nemá
Čirůvka odlišná (Tricholoma sejunctum),Tricholoma,"srpen, září, říjen","jehličnatý les, listnatý les, smíšený les",mírně jedovatá,válcovitý,tvrdá,"hladký, vláknitý",bílá,lupeny,"žlutá, zelená","polokulovitý, plochý, klenutý","hladký, vláknitý",nemá,nemá
Čirůvka prstenitá (Tricholoma batschii),Tricholoma,"červenec, srpen, září, říjen, listopad","jehličnatý les, smíšený les, kosodřevina",nejedlá,válcovitý,tvrdá,vláknitý,"hnědá, oranžová",lupeny,"hnědá, červená",klenutý,"lysý, vláknitý",má,nemá
Čirůvka špinavá (Lepista sordida),Lepista,"duben, květen, červen, červenec, srpen, září, říjen, listopad, prosinec","louky, pastviny, parky, sady, zahrady, křoviny, paseky",jedlá,"válcovitý, kyjovitý",tvrdá,vláknitý,"růžová, fialová",lupeny,"růžová, fialová","plochý, nálevkovitý, klenutý","hladký, lysý",nemá,nemá
