chut,hymenofor,jedla,jmeno,klobouk_barva,klobouk_povrch,klobouk_tvar,konzistence,latin,pochva,prsten,tren_barva,tren_povrch,tren_tvar,vune,vyskyt_doba,vyskyt_misto
['příjemná'],['lupeny'],['jedlá'],Bedla červenající ,['hnědá'],['šupinkatý'],"['kulovitý, plochý, s\xa0hrbolkem, zvoncovitý, klenutý']",['dřevnatá'],(Macrolepiota rhacodes),['nemá'],['má'],"['bílá, okrová']",['hladký'],"['válcovitý, hlízovitý']",['příjemná'],"['červenec, srpen, září, říjen']","['jehličnatý les, listnatý les, smíšený les, zahrady']"
['-'],['rourky'],['nejedlá'],Anýzovník vonný ,"['hnědá, žlutá']","['hrbolkatý, jamkatý, plstnatý']","['polokulovitý, excentrický']",['dřevnatá'],(Gloeophyllum odoratum),['-'],['-'],['-'],['-'],['-'],"['anýzová, aromatická']","['leden, únor, březen, duben, květen, červen, červenec, srpen, září, říjen, listopad, prosinec']","['jehličnatý les, smíšený les']"
['příjemná'],['lupeny'],['jedlá'],Bedla vysoká ,['hnědá'],['šupinkatý'],"['kulovitý, plochý, zvoncovitý']",['dřevnatá'],(Macrolepiota procera),['nemá'],['má'],['hnědá'],['-'],"['válcovitý, hlízovitý']","['příjemná, houbová']","['červenec, srpen, září, říjen']","['jehličnatý les, listnatý les, smíšený les, pastviny, parky, křoviny, paseky']"
"['příjemná, kořenitá, sladká']",['jiné'],['jedlá'],Bělolanýž obecný ,['-'],['-'],['-'],['tvrdá'],(Choiromyces meandriformis),['-'],['-'],['-'],['-'],['-'],"['kořenitá, aromatická']","['červenec, srpen, září']","['jehličnatý les, listnatý les, smíšený les']"
['hořká'],['rourky'],['nejedlá'],Březovník obecný ,"['bílá, okrová']",['hladký'],['polokulovitý'],['měkká'],(Piptoporus betulinus),['-'],['-'],['-'],['-'],['-'],['-'],"['květen, červen, červenec, srpen, září, říjen']","['listnatý les, smíšený les, parky']"
"['hořká, kyselá']",['lupeny'],['nejedlá'],Čechratka černohuňatá ,['hnědá'],['sametový'],"['plochý, vmáčklý, klenutý']",['tvrdá'],(Paxillus atrotomentosus),['nemá'],['nemá'],['hnědá'],['matný'],['válcovitý'],['nepříjemná'],"['červenec, srpen, září, říjen']","['jehličnatý les, smíšený les, mýtiny']"
"['nevýrazná, kyselá']",['lupeny'],['smrtelně jedovatá'],Čechratka podvinutá ,"['hnědá, olivová, okrová']",['sametový'],"['plochý, vmáčklý, klenutý']",['tvrdá'],(Paxillus involutus),['nemá'],['nemá'],"['žlutá, okrová']",['hladký'],['válcovitý'],['nevýrazná'],"['červen, červenec, srpen, září, říjen, listopad']","['jehličnatý les, listnatý les, smíšený les, sady, zahrady, jiné']"
['okurková'],['lupeny'],['smrtelně jedovatá'],Čepičatka jehličnanová ,"['hnědá, žlutá, okrová']","['hladký, se zbytky plachetky (vločkatý)']","['plochý, klenutý']",['pružná'],(Galerina marginata),['nemá'],['má'],"['hnědá, žlutá, okrová']",['vláknitý'],['válcovitý'],['-'],"['srpen, září, říjen']","['jehličnatý les, smíšený les']"
['příjemná'],['lupeny'],['jedlá'],Čirůvka májovka ,"['bílá, okrová']","['hladký, lysý']","['polokulovitý, plochý, klenutý']",['tvrdá'],(Calocybe gambosa),['nemá'],['nemá'],['bílá'],['hladký'],['válcovitý'],['příjemná'],"['duben, květen, červen']","['listnatý les, louky, pastviny, parky, sady, zahrady, stráně, paseky']"
"['příjemná, sladká']",['lupeny'],['jedlá'],Čirůvka fialová ,['fialová'],"['hladký, lysý']","['plochý, klenutý']",['tvrdá'],(Lepista nuda),['nemá'],['nemá'],['fialová'],"['hladký, vláknitý']",['válcovitý'],['houbová'],"['září, říjen, listopad']","['jehličnatý les, listnatý les, smíšený les, louky, parky, sady, zahrady']"
